[2023-08-15 02:25:18] Ruta: /my_framework/public/, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:18] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:19] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:19] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:19] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:20] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:25] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:25] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:25] Ruta: /my_framework/public/login, Método: GET
[2023-08-15 02:25:25] Ruta: /my_framework/public/login, Método: GET
